sapnumber;instock;store;shelf;shelffield;shelffloor
1941260;25;1004;096;01;04
2055127;94;1004;096;02;05
2094415;26;1004;089;04;03
2109924;0;1004;000;00;00
2204916;4;1004;104;04;03
2210484;26;1004;031;05;03
2263995;0;1004;094;05;01
2422489;999999;1004;483;02;00
2530276;999999;1004;478;03;00
2531519;8;1004;239;06;02
2589654;28;1004;467;01;04
2592321;64;1004;102;03;05
2697175;14;1004;090;04;03
2702057;31;1004;063;27;03
2702676;0;1004;000;00;00
3147289;999999;1004;466;03;03
3328512;13;1004;436;01;06
3341436;0;1004;000;00;00
3385770;0;1004;000;00;00
3390302;999999;1004;466;03;05
3397924;3;1004;406;04;04
3400157;0;1004;413;08;03
3424251;0;1004;000;00;00
3563432;53;1004;090;01;04
3582511;0;1004;000;00;00
3601137;112;1004;426;03;05
3630390;11;1004;452;09;05
3674214;0;1004;000;00;00
3702828;44;1004;089;02;02
3952943;5;1004;405;08;05
3958661;14;1004;419;05;04
3997698;0;1004;000;00;00
4055862;27;1004;000;00;00
4094085;0;1004;000;00;00
4183862;11;1004;087;01;02
4185127;0;1004;000;00;00
4229800;58;1004;447;05;06
4253377;17;1004;418;02;02
4291582;56;1004;086;01;04
4396852;9;1004;405;05;06
4414567;0;1004;000;00;00
4414931;0;1004;000;00;00
4454835;17;1004;102;02;05
4496685;8;1004;402;02;02
4536359;17;1004;472;02;04
4655101;176;1004;044;04;04
4658335;11;1004;000;00;00
4797249;22;1004;435;07;02
4886829;22;1004;077;06;06
4925673;0;1004;000;00;00
4999348;0;1004;000;00;00
5080028;44;1004;077;04;03
5126283;0;1004;095;05;01
5149868;11;1004;402;03;03
5316089;32;1004;101;04;02
5390220;112;1004;433;01;04
5409695;168;1004;037;01;01
5419322;42;1004;429;01;04
5451718;0;1004;000;00;00
5459252;999999;1004;484;05;00
5473059;18;1004;442;05;03
5546852;0;1004;093;07;03
5586995;39;1004;089;04;04
5595903;999999;1004;473;03;00
5608213;0;1004;000;00;00
5624301;0;1004;000;00;00
5641179;30;1004;416;03;02
5660467;11;1004;031;08;03
5835560;21;1004;000;00;00
6096802;999999;1004;000;00;00
6097120;0;1004;000;00;00
6142652;32;1004;431;05;04
6279009;44;1004;103;02;04
6571759;13;1004;064;01;02
6715297;91;1004;049;06;05
6903649;14;1004;247;01;07
6946499;91;1004;094;05;05
99005731;999999;1004;000;00;00
6284250;990;1004;049;05;05
6288426;990;1004;049;05;05
2184108;990;1004;049;05;05
630004;990;1004;049;05;05
1599022;990;1004;049;05;05
314365;990;1004;049;05;05
2397640;990;1004;049;05;05
2397681;990;1004;049;05;05
9423;990;1004;049;05;05
18510;990;1004;049;05;05
17530;990;1004;049;05;05
175308;990;1004;049;05;05
4448;708;1042;075;04;05
5099;47;1042;088;07;05
65778;32;1042;000;00;00
67677;67;1042;044;05;05
68597;0;1042;056;05;02
82078;223;1042;039;04;01
123116;66;1042;250;05;03
149139;46;1042;042;02;04
172582;0;1042;000;00;00
191361;22;1042;078;02;04
276037;3397;1042;079;04;07
279722;0;1042;249;01;04
449177;6;1042;093;05;01
498547;0;1042;000;00;00
729507;10;1042;091;05;01
748667;17;1042;462;05;04
788065;9;1042;095;09;04
837703;0;1042;057;05;03
876233;17;1042;470;09;02
971805;13;1042;470;11;04
1049292;537;1042;260;06;04
1062437;79;1042;243;05;05
1063623;8;1042;033;02;01
1301592;0;1042;470;08;04
1446594;47;1042;049;05;03
1497986;104;1042;469;05;02
1529898;9;1042;000;00;00
1562556;31;1042;045;08;04
1575574;18;1042;457;02;03
1739610;11;1042;097;06;02
1904361;4;1042;462;02;02
1941257;16;1042;096;01;04
1941260;25;1042;096;01;04
2055127;94;1042;096;02;05
2094415;26;1042;089;04;03
2109924;0;1042;000;00;00
2204916;4;1042;104;04;03
2210484;26;1042;031;05;03
2263995;0;1042;094;05;01
2422489;999999;1042;483;02;00
2530276;999999;1042;478;03;00
2531519;8;1042;239;06;02
2589654;28;1042;467;01;04
2592321;64;1042;102;03;05
2697175;14;1042;090;04;03
2702057;31;1042;063;27;03
2702676;0;1042;000;00;00
3147289;999999;1042;466;03;03
3328512;13;1042;436;01;06
3341436;0;1042;000;00;00
3385770;0;1042;000;00;00
3390302;999999;1042;466;03;05
3397924;3;1042;406;04;04
3400157;0;1042;413;08;03
3424251;0;1042;000;00;00
3563432;53;1042;090;01;04
3582511;0;1042;000;00;00
3601137;112;1042;426;03;05
3630390;11;1042;452;09;05
3674214;0;1042;000;00;00
3702828;44;1042;089;02;02
3952943;5;1042;405;08;05
3958661;14;1042;419;05;04
3997698;0;1042;000;00;00
4055862;27;1042;000;00;00
4094085;0;1042;000;00;00
4183862;11;1042;087;01;02
4185127;0;1042;000;00;00
4229800;58;1042;447;05;06
4253377;17;1042;418;02;02
4291582;56;1042;086;01;04
4396852;9;1042;405;05;06
4414567;0;1042;000;00;00
4414931;0;1042;000;00;00
4454835;17;1042;102;02;05
4496685;8;1042;402;02;02
4536359;17;1042;472;02;04
4655101;176;1042;044;04;04
4658335;11;1042;000;00;00
4797249;22;1042;435;07;02
4886829;22;1042;077;06;06
4925673;0;1042;000;00;00
4999348;0;1042;000;00;00
5080028;44;1042;077;04;03
5126283;0;1042;095;05;01
5149868;11;1042;402;03;03
5316089;32;1042;101;04;02
5390220;112;1042;433;01;04
5409695;168;1042;037;01;01
5419322;42;1042;429;01;04
5451718;0;1042;000;00;00
5459252;999999;1042;484;05;00
5473059;18;1042;442;05;03
5546852;0;1042;093;07;03
5586995;39;1042;089;04;04
5595903;999999;1042;473;03;00
5608213;0;1042;000;00;00
5624301;0;1042;000;00;00
5641179;30;1042;416;03;02
5660467;11;1042;031;08;03
5835560;21;1042;000;00;00
6096802;999999;1042;000;00;00
6097120;0;1042;000;00;00
6142652;32;1042;431;05;04
6279009;44;1042;103;02;04
6571759;13;1042;064;01;02
6715297;91;1042;049;06;05
6903649;14;1042;247;01;07
6946499;91;1042;094;05;05
99005731;999999;1042;000;00;00
6284250;990;1042;049;05;05
6288426;990;1042;049;05;05
2184108;990;1042;049;05;05
630004;990;1042;049;05;05
1599022;990;1042;049;05;05
314365;990;1042;049;05;05
2397640;990;1042;049;05;05
2397681;990;1042;049;05;05
9423;990;1042;049;05;05
18510;990;1042;049;05;05
17530;990;1042;049;05;05
175308;990;1042;049;05;05
4448;708;1057;075;04;05
5099;47;1057;088;07;05
65778;32;1057;000;00;00
67677;67;1057;044;05;05
68597;0;1057;056;05;02
82078;223;1057;039;04;01
123116;66;1057;250;05;03
149139;46;1057;042;02;04
172582;0;1057;000;00;00
191361;22;1057;078;02;04
276037;3397;1057;079;04;07
279722;0;1057;249;01;04
449177;6;1057;093;05;01
498547;0;1057;000;00;00
729507;10;1057;091;05;01
748667;17;1057;462;05;04
788065;9;1057;095;09;04
837703;0;1057;057;05;03
876233;17;1057;470;09;02
971805;13;1057;470;11;04
1049292;537;1057;260;06;04
1062437;79;1057;243;05;05
1063623;8;1057;033;02;01
1301592;0;1057;470;08;04
1446594;47;1057;049;05;03
1497986;104;1057;469;05;02
1529898;9;1057;000;00;00
1562556;31;1057;045;08;04
1575574;18;1057;457;02;03
1739610;11;1057;097;06;02
1904361;4;1057;462;02;02
1941257;16;1057;096;01;04
1941260;25;1057;096;01;04
2055127;94;1057;096;02;05
2094415;26;1057;089;04;03
2109924;0;1057;000;00;00
2204916;4;1057;104;04;03
2210484;26;1057;031;05;03
2263995;0;1057;094;05;01
2422489;999999;1057;483;02;00
2530276;999999;1057;478;03;00
2531519;8;1057;239;06;02
2589654;28;1057;467;01;04
2592321;64;1057;102;03;05
2697175;14;1057;090;04;03
2702057;31;1057;063;27;03
2702676;0;1057;000;00;00
3147289;999999;1057;466;03;03
3328512;13;1057;436;01;06
3341436;0;1057;000;00;00
3385770;0;1057;000;00;00
3390302;999999;1057;466;03;05
3397924;3;1057;406;04;04
3400157;0;1057;413;08;03
3424251;0;1057;000;00;00
3563432;53;1057;090;01;04
3582511;0;1057;000;00;00
3601137;112;1057;426;03;05
3630390;11;1057;452;09;05
3674214;0;1057;000;00;00
3702828;44;1057;089;02;02
3952943;5;1057;405;08;05
3958661;14;1057;419;05;04
3997698;0;1057;000;00;00
4055862;27;1057;000;00;00
4094085;0;1057;000;00;00
4183862;11;1057;087;01;02
4185127;0;1057;000;00;00
4229800;58;1057;447;05;06
4253377;17;1057;418;02;02
4291582;56;1057;086;01;04
4396852;9;1057;405;05;06
4414567;0;1057;000;00;00
4414931;0;1057;000;00;00
4454835;17;1057;102;02;05
4496685;8;1057;402;02;02
4536359;17;1057;472;02;04
4655101;176;1057;044;04;04
4658335;11;1057;000;00;00
4797249;22;1057;435;07;02
4886829;22;1057;077;06;06
4925673;0;1057;000;00;00
4999348;0;1057;000;00;00
5080028;44;1057;077;04;03
5126283;0;1057;095;05;01
5149868;11;1057;402;03;03
5316089;32;1057;101;04;02
5390220;112;1057;433;01;04
5409695;168;1057;037;01;01
5419322;42;1057;429;01;04
5451718;0;1057;000;00;00
5459252;999999;1057;484;05;00
5473059;18;1057;442;05;03
5546852;0;1057;093;07;03
5586995;39;1057;089;04;04
5595903;999999;1057;473;03;00
5608213;0;1057;000;00;00
5624301;0;1057;000;00;00
5641179;30;1057;416;03;02
5660467;11;1057;031;08;03
5835560;21;1057;000;00;00
6096802;999999;1057;000;00;00
6097120;0;1057;000;00;00
6142652;32;1057;431;05;04
6279009;44;1057;103;02;04
6571759;13;1057;064;01;02
6715297;91;1057;049;06;05
6903649;14;1057;247;01;07
6946499;91;1057;094;05;05
99005731;999999;1057;000;00;00
6284250;990;1057;049;05;05
6288426;990;1057;049;05;05
2184108;990;1057;049;05;05
630004;990;1057;049;05;05
1599022;990;1057;049;05;05
314365;990;1057;049;05;05
2397640;990;1057;049;05;05
2397681;990;1057;049;05;05
9423;990;1057;049;05;05
18510;990;1057;049;05;05
17530;990;1057;049;05;05
175308;990;1057;049;05;05

